countries,lng_lat
Malta,"[14.4476911, 35.8885993]"
Marshall Islands,"[168.0002575, 8.9995549]"
Martinique,"[-61.01582685063731, 14.6367927]"
Mauritania,"[-9.2399263, 20.2540382]"
Mauritius,"[57.5703566, -20.2759451]"
Mayotte,"[45.148490830203045, -12.825543]"
Mexico,"[-102.0077097, 23.6585116]"
Micronesia,"[151.832744331612, 8.6062347]"
Moldova,"[28.5670941, 47.2879608]"
Monaco,"[7.4276832, 43.7323492]"
Mongolia,"[103.8499736, 46.8250388]"
Montenegro,"[19.5180992, 42.9868853]"
Montserrat,"[-62.1916844, 16.7417041]"
Morocco,"[-7.3362482, 31.1728205]"
Mozambique,"[34.9144977, -19.302233]"
Myanmar,"[95.9999652, 17.1750495]"
Namibia,"[17.3231107, -23.2335499]"
Nauru,"[166.9324426, -0.5252306]"
Nepal,"[84.0917139, 28.1083929]"
Netherlands,"[5.6343227, 52.2434979]"
New Caledonia,"[165.4880773, -21.3019905]"
New Zealand,"[172.8344077, -41.5000831]"
Nicaragua,"[-85.2936911, 12.6090157]"
Niger,"[9.3238432, 17.7356214]"
Nigeria,"[7.9999721, 9.6000359]"
Niue,"[-169.861341, -19.0536414]"
Norfolk Island,"[167.9483137, -29.0328038]"
North Korea,"[127.0870417, 40.3736611]"
Northern Mariana Islands,"[145.7379338, 15.1753648]"
Norway,"[8.7876653, 61.1529386]"
Norway,"[8.7876653, 61.1529386]"
Oman,"[57.0036901, 21.0000287]"
Pakistan,"[71.247499, 30.3308401]"
Palau,"[132.9102573, 5.3783537]"
Palestine,"[34.262716572130714, 31.462420950000002]"
Panama,"[-81.1308434, 8.559559]"
Papua New Guinea,"[144.2489081, -5.6816069]"
Paraguay,"[-58.1693445, -23.3165935]"
Peru,"[-75.0458515, -6.8699697]"
Philippines,"[122.7312101, 12.7503486]"
Pitcairn,"[-130.101782, -25.0657719]"
Poland,"[19.134422, 52.215933]"
Portugal,"[-8.1353519, 39.6621648]"
Puerto Rico,"[-66.4858295, 18.2247706]"
Qatar,"[51.2295295, 25.3336984]"
Republic of the Congo,"[15.6419155, -0.7264327]"
Réunion,"[55.536480112992315, -21.130737949999997]"
Romania,"[24.6859225, 45.9852129]"
Russia,"[97.7453061, 64.6863136]"
Rwanda,"[30.0644358, -1.9646631]"
Saint Barthélemy,"[-62.81152921501989, 17.9036287]"
Saint Helena,"[-5.7129442, -15.9694573]"
Saint Kitts and Nevis,"[-62.6725973, 17.250512]"
Saint Lucia,"[-60.975036, 13.8250489]"
Saint Martin,"[-63.0467131, 18.0814066]"
Saint Pierre and Miquelon,"[-56.195158907484085, 46.783246899999995]"
Saint Vincent and the Grenadines,"[-61.2765569, 12.90447]"
Samoa,"[-172.12005, -13.7693895]"
San Marino,"[12.458306, 43.9458623]"
Sao Tome and Principe,"[7.02255, 0.9713095]"
Saudi Arabia,"[42.3528328, 25.6242618]"
Senegal,"[-14.4529612, 14.4750607]"
Serbia,"[20.55144, 44.1534121]"
Seychelles,"[55.4540146, -4.6574977]"
Sierra Leone,"[-11.8400269, 8.6400349]"
Singapore,"[103.8194992, 1.357107]"
Sint Maarten,"[-63.0549948, 18.0423736]"
Slovakia,"[19.4528646, 48.7411522]"
Slovenia,"[14.8153333, 46.1199444]"
Solomon Islands,"[159.1070693851845, -8.7053941]"
Somalia,"[49.083416, 8.3676771]"
South Africa,"[24.991639, -28.8166236]"
South Georgia and the South Sandwich Islands,"[-35.8090698, -54.8432857]"
South Sudan,"[29.6667897, 7.8699431]"
Spain,"[-4.8379791, 39.3260685]"
Sri Lanka,"[80.66247852355892, 7.877395849999999]"
Sudan,"[29.4917691, 14.5844444]"
Suriname,"[-56.0771187, 4.1413025]"
Sweden,"[14.5208584, 59.6749712]"
Switzerland,"[8.2319736, 46.7985624]"
Syrian Arab Republic,"[39.0494106, 34.6401861]"
Taiwan,"[120.9820179, 23.9739374]"
Tajikistan,"[70.8156541, 38.6281733]"
Tanzania,"[35.7878438, -6.5247123]"
Thailand,"[100.83273, 14.8971921]"
Timor-Leste,"[126.063482, -8.7443169]"
Togo,"[1.0199765, 8.7800265]"
Tokelau,"[-171.819687, -9.1676396]"
Tonga,"[-175.202642, -19.9160819]"
Trinidad and Tobago,"[-61.0840075, 10.7466905]"
Tunisia,"[9.400138, 33.8439408]"
Turkey,"[34.9249653, 38.9597594]"
Turkmenistan,"[59.3924609, 39.3763807]"
Turks and Caicos Islands,"[-71.5527809, 21.721746]"
Tuvalu,"[179.1582918181797, -8.6405212]"
Uganda,"[32.2166578, 1.5333554]"
Ukraine,"[31.2718321, 49.4871968]"
United Arab Emirates,"[53.9994829, 24.0002488]"
United Kingdom,"[-3.2765753, 54.7023545]"
United Kingdom,"[-3.2765753, 54.7023545]"
United States,"[-100.445882, 39.7837304]"
Uruguay,"[-56.0201525, -32.8755548]"
Uzbekistan,"[63.9528098, 41.32373]"
Vanuatu,"[168.1069154, -16.5255069]"
Vatican,"[12.453152716391763, 41.90381485]"
Venezuela,"[-66.1109318, 8.0018709]"
Vietnam,"[107.9650855, 15.9266657]"
"Virgin Islands, U.S.","[-64.75901597858353, 17.7289564]"
Wallis and Futuna,"[-176.204224, -13.289402]"
Western Sahara,"[-13.892143025000001, 24.16819605]"
Yemen,"[47.8915271, 16.3471243]"
Zambia,"[27.5589884, -14.5189121]"
Zimbabwe,"[29.7468414, -18.4554963]"
Prince Edward Islands,"[-76.62649363736264, 43.9285366]"
Saba,"[117.0326392, 5.4257359]"
Area Under Dispute,[]
Clipperton Island (France),"[-109.21632150729127, 10.30364715]"
Cocos Islands (AUS.),[]
Sint Eustatius (Neth.),[]
St. Helena (U.K.),"[-0.9465342, 54.4237934]"
St. Lucia,"[-60.97792414113452, 13.90904385]"
St. Martin (Fr.),"[6.86894, 46.5765358]"
St.Kitts And Nevis,"[-62.6725973, 17.250512]"
St.Martin (Neth.),[]
Swaziland,"[31.3991317, -26.5624806]"
Virgin Island U.K.,"[-1.8017709616406374, 55.669305300000005]"
Is.Malvinas (Claimed By Arg.&U.K.) (Falkland Is.),[]
